OTU	Occ	Domain	Phylum	Class	Order	Family	Genus	Species	Genus_Class	com_abund	RelAbund	PercentRelAbund
FPLS01000199.16.1518	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 KD3-93	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.021756386	0.000483475	0.048347525
HQ120351.1.1509	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Gammaproteobacteria Incertae Sedis	 Unknown Family	 Acidibacter	 uncultured bacterium	 Acidibacter	0.021684226	0.000481872	0.048187168
DQ125578.1.1412	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.021648145	0.00048107	0.04810699
FPLS01017303.111.1632	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 BIrii41	 Ambiguous_taxa	 Ambiguous_taxa	 Deltaproteobacteria	0.021648145	0.00048107	0.04810699
AYWN01000015.724.2340	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Mesorhizobium	NA	 Mesorhizobium	0.021612065	0.000480268	0.048026812
AB021492.1.1481	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.021503825	0.000477863	0.047786277
KC554974.1.1540	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 Solirubrobacteraceae	 Solirubrobacter	 Ambiguous_taxa	 Solirubrobacter	0.021503825	0.000477863	0.047786277
FODX01000002.150690.152229	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	NA	NA	 Gammaproteobacteria	0.021359504	0.000474656	0.047465563
KY176967.1.1480	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	NA	 Alphaproteobacteria	0.021287343	0.000473052	0.047305207
HQ011714.1.1210	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Cytophagales	 Hymenobacteraceae	 Adhaeribacter	NA	 Adhaeribacter	0.021179102	0.000470647	0.047064672
FN811185.1.1488	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 AKYH767	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.021106942	0.000469043	0.046904315
AY957905.1.1474	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	 Ambiguous_taxa	 Phenylobacterium	0.02085438	0.000463431	0.046343067
KX239157.1.1492	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 uncultured bacterium	 uncultured bacterium	 Gammaproteobacteria	0.0208183	0.000462629	0.046262889
FPLS01043469.19.1533	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 TRA3-20	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.020637899	0.00045862	0.045861997
JF265864.1.1343	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 Stenotrophobacter	NA	 Stenotrophobacter	0.020601818	0.000457818	0.045781819
KC554570.1.1513	1	Bacteria	 Actinobacteria	 Actinobacteria	 Micromonosporales	 Micromonosporaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Actinobacteria	0.020601818	0.000457818	0.045781819
AF523022.1.1496	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Aquabacterium	 Ambiguous_taxa	 Aquabacterium	0.020529658	0.000456215	0.045621462
GQ396821.1.1509	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.020385337	0.000453007	0.045300749
HQ645210.1.1525	1	Bacteria	 Acidobacteria	 Holophagae	 Subgroup 7	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Holophagae	0.020277096	0.000450602	0.045060214
FJ478937.1.1444	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Pedomicrobium	 Ambiguous_taxa	 Pedomicrobium	0.020241016	0.0004498	0.044980036
JQ861281.1.1538	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	NA	NA	 Verrucomicrobiae	0.020241016	0.0004498	0.044980036
AB236956.1.1511	1	Bacteria	 Actinobacteria	 Actinobacteria	 Micromonosporales	 Micromonosporaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Actinobacteria	0.020168856	0.000448197	0.044819679
KC191773.1.1550	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Pyrinomonadales	 Pyrinomonadaceae	 RB41	 Ambiguous_taxa	 RB41	0.020132775	0.000447395	0.044739501
KF975551.1.1519	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 Blastocatella	 Ambiguous_taxa	 Blastocatella	0.019880214	0.000441783	0.044178252
FPLS01059649.14.1514	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.019627652	0.00043617	0.043617004
JN869177.1.1525	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 uncultured	 uncultured bacterium	 Gammaproteobacteria	0.019555491	0.000434566	0.043456648
AB473915.1.1479	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.019483331	0.000432963	0.043296291
FPLS01003511.12.1482	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Ambiguous_taxa	NA	 Alphaproteobacteria	0.01941117	0.000431359	0.043135934
DQ787714.1.1521	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.01937509	0.000430558	0.043055756
JF319157.1.1412	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Rhodoplanes	 Ambiguous_taxa	 Rhodoplanes	0.01937509	0.000430558	0.043055756
FJ716020.1.1488	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.019266849	0.000428152	0.042815221
FPLS01008338.8.1471	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Pedomicrobium	 Ambiguous_taxa	 Pedomicrobium	0.019266849	0.000428152	0.042815221
JX114381.1.1509	1	Bacteria	 Acidobacteria	 Subgroup 6	NA	NA	NA	NA	 Subgroup 6	0.019122529	0.000424945	0.042494508
KC502961.1.1477	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.019122529	0.000424945	0.042494508
EF516053.1.1454	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 JGI 0001001-H03	NA	 JGI 0001001-H03	0.019086448	0.000424143	0.042414329
FR749736.1.1496	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 Ambiguous_taxa	 Gemmatimonadetes	0.019014288	0.00042254	0.042253973
JX559168.1.1441	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 uncultured bacterium	 Sphingomonas	0.018869967	0.000419333	0.04193326
FPLS01042095.15.1484	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Altererythrobacter	 Ambiguous_taxa	 Altererythrobacter	0.018797806	0.000417729	0.041772903
FPLS01061730.7.1517	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 uncultured	 Ambiguous_taxa	 Ambiguous_taxa	 Deltaproteobacteria	0.018797806	0.000417729	0.041772903
FPLS01009443.10.1491	1	Bacteria	 Acidobacteria	 Acidobacteriia	 Solibacterales	 Solibacteraceae (Subgroup 3)	 Candidatus Solibacter	 Ambiguous_taxa	 Candidatus Solibacter	0.018689566	0.000415324	0.041532368
FPLS01013926.21.1524	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Terrimonas	NA	 Terrimonas	0.018509164	0.000411315	0.041131476
FPLS01010040.16.1483	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 AKYH767	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.018437004	0.000409711	0.04097112
FPLS01053107.15.1484	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Reyranellales	 Reyranellaceae	 Reyranella	 Ambiguous_taxa	 Reyranella	0.018292683	0.000406504	0.040650407
FPLS01003291.16.1486	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	NA	 Alphaproteobacteria	0.018256603	0.000405702	0.040570228
HM069088.1.1482	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.018184442	0.000404099	0.040409872
FPLS01009239.16.1559	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 uncultured bacterium	 uncultured bacterium	 Verrucomicrobiae	0.018112282	0.000402495	0.040249515
GQ264223.1.1472	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Cytophagales	 Microscillaceae	NA	NA	 Bacteroidia	0.018004041	0.00040009	0.04000898
KJ192110.1.1497	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Gemmatales	 Gemmataceae	 uncultured	 Ambiguous_taxa	 Planctomycetacia	0.018004041	0.00040009	0.04000898
HQ118767.1.1462	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	NA	 Alphaproteobacteria	0.017715399	0.000393676	0.039367553
FNIB01000031.49.1586	1	Bacteria	 Actinobacteria	 Actinobacteria	 Micrococcales	 Microbacteriaceae	NA	NA	 Actinobacteria	0.017679319	0.000392874	0.039287375
EF516625.1.1481	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 uncultured bacterium	 Chthoniobacter	0.017679319	0.000392874	0.039287375
GU444091.1.1512	1	Bacteria	 Elusimicrobia	 Lineage IIa	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Lineage IIa	0.017426757	0.000387261	0.038726127
FJ528273.1.1410	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Bradyrhizobium	NA	 Bradyrhizobium	0.017102035	0.000380045	0.038004522
FJ152840.1.1519	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.017065955	0.000379243	0.037924344
AB630753.1.1475	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.016921634	0.000376036	0.03760363
KJ013398.1.1513	1	Bacteria	 Actinobacteria	 Actinobacteria	 Pseudonocardiales	 Pseudonocardiaceae	 Pseudonocardia	 uncultured bacterium	 Pseudonocardia	0.016560831	0.000368018	0.036801847
FPLS01030586.17.1487	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	NA	NA	 Alphaproteobacteria	0.016488671	0.000366415	0.036641491
FJ479214.1.1464	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 Ambiguous_taxa	 Ambiguous_taxa	 Phycisphaerae	0.01634435	0.000363208	0.036320777
AB257649.1.1487	1	Bacteria	 Acidobacteria	 Acidobacteriia	 Solibacterales	 Solibacteraceae (Subgroup 3)	 Bryobacter	 Ambiguous_taxa	 Bryobacter	0.016272189	0.000361604	0.036160421
FPLS01003611.9.1546	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Opitutus	 metagenome	 Opitutus	0.016272189	0.000361604	0.036160421
FPLL01007586.9.1544	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.016127868	0.000358397	0.035839708
FPLP01006715.10.1488	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Tistrellales	 Geminicoccaceae	 Candidatus Alysiosphaera	 Ambiguous_taxa	 Candidatus Alysiosphaera	0.016091788	0.000357595	0.035759529
JN869053.1.1523	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Gemmatales	 Gemmataceae	 uncultured	 uncultured bacterium	 Planctomycetacia	0.016055708	0.000356794	0.035679351
JN869233.1.1486	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Erythrobacter	 Ambiguous_taxa	 Erythrobacter	0.016055708	0.000356794	0.035679351
FPLS01030638.9.1548	1	Bacteria	 Gemmatimonadetes	 BD2-11 terrestrial group	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 BD2-11 terrestrial group	0.015767066	0.000350379	0.035037924
GQ396899.1.1522	1	Bacteria	 Acidobacteria	 Subgroup 17	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Subgroup 17	0.015730986	0.000349577	0.034957746
AY395418.1.1391	1	Bacteria	 Chloroflexi	 TK10	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 TK10	0.015586665	0.00034637	0.034637033
EF019190.1.1356	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured bacterium	 uncultured bacterium	 Phycisphaerae	0.015478424	0.000343965	0.034396498
HQ597493.1.1475	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 uncultured	 Ambiguous_taxa	 Blastocatellia (Subgroup 4)	0.015478424	0.000343965	0.034396498
JX505063.1.1422	1	Bacteria	 Chloroflexi	 KD4-96	NA	NA	NA	NA	 KD4-96	0.015442344	0.000343163	0.034316319
KR029299.1.1517	1	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Planococcaceae	 Sporosarcina	 Ambiguous_taxa	 Sporosarcina	0.015153702	0.000336749	0.033674893
FPLS01060597.11.1511	1	Bacteria	 Actinobacteria	 Acidimicrobiia	 Microtrichales	 Ilumatobacteraceae	 Ilumatobacter	 Ambiguous_taxa	 Ilumatobacter	0.015117622	0.000335947	0.033594715
HE646302.1.1455	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Gemmatales	 Gemmataceae	 uncultured	 uncultured bacterium	 Planctomycetacia	0.014756819	0.000327929	0.032792931
HQ190315.1.1534	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfarculales	 Desulfarculaceae	 uncultured	 uncultured bacterium	 Deltaproteobacteria	0.014684659	0.000326326	0.032632575
FPLS01039637.16.1520	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 AKYH767	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.014612498	0.000324722	0.032472218
FJ174739.1.913	1	Archaea	 Euryarchaeota	 Thermoplasmata	 Marine Group II	 uncultured archaeon	 uncultured archaeon	 uncultured archaeon	 Thermoplasmata	0.014359936	0.00031911	0.03191097
HM129377.1.1447	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 uncultured bacterium	 Ferruginibacter	0.014359936	0.00031911	0.03191097
AB661559.1.1414	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.014323856	0.000318308	0.031830792
FPLK01002439.8.1523	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Gammaproteobacteria Incertae Sedis	 Unknown Family	 Acidibacter	 Ambiguous_taxa	 Acidibacter	0.014251696	0.000316704	0.031670435
GU359100.1.1474	1	Bacteria	 Acidobacteria	 Subgroup 6	NA	NA	NA	NA	 Subgroup 6	0.013999134	0.000311092	0.031109187
HQ190278.1.1525	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.013890893	0.000308687	0.030868652
DQ129385.1.1478	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Pirellulales	 Pirellulaceae	 Pirellula	 uncultured bacterium	 Pirellula	0.013818733	0.000307083	0.030708295
EF019650.1.1349	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	NA	 Ferruginibacter	0.01345793	0.000299065	0.029906512
JQ769816.1.1484	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 env.OPS 17	NA	NA	 Bacteroidia	0.01342185	0.000298263	0.029826334
LMZR01000034.4660.6149	1	Bacteria	 Chloroflexi	 OLB14	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 OLB14	0.01342185	0.000298263	0.029826334
FPLS01005041.10.1541	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.013313609	0.000295858	0.029585799
HQ120726.1.1502	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavisolibacter	 Ambiguous_taxa	 Flavisolibacter	0.012952807	0.00028784	0.028784016
FPLS01032943.15.1553	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Ambiguous_taxa	NA	 Verrucomicrobiae	0.012592005	0.000279822	0.027982232
HQ118650.1.1503	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 uncultured bacterium	 uncultured bacterium	 Gammaproteobacteria	0.012519844	0.000278219	0.027821876
KC554261.1.1542	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 uncultured	 uncultured bacterium	 uncultured bacterium	 Thermoleophilia	0.012519844	0.000278219	0.027821876
KC255337.1.1477	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Pirellulales	 Pirellulaceae	 Pirellula	 uncultured bacterium	 Pirellula	0.012375523	0.000275012	0.027501163
FPLS01053758.9.1488	1	Bacteria	 Chloroflexi	 Dehalococcoidia	 S085	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Dehalococcoidia	0.012339443	0.00027421	0.027420984
JQ311859.1.1492	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Ambiguous_taxa	 Chthoniobacter	0.012339443	0.00027421	0.027420984
FPLL01002951.10.1548	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.012303363	0.000273408	0.027340806
OTU_dn_163	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured bacterium	 uncultured bacterium	 Phycisphaerae	0.011762159	0.000261381	0.026138131
KC331573.1.1530	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 uncultured bacterium	 uncultured bacterium	 Verrucomicrobiae	0.011689999	0.000259778	0.025977775
FPLS01055945.18.1493	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Tistrellales	 Geminicoccaceae	 Candidatus Alysiosphaera	 Ambiguous_taxa	 Candidatus Alysiosphaera	0.011545678	0.000256571	0.025657061
GU260708.8566.10112	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.011545678	0.000256571	0.025657061
JN868823.1.1495	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured planctomycete	 uncultured planctomycete	 Phycisphaerae	0.011545678	0.000256571	0.025657061
KC331295.1.1522	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae	 uncultured	NA	 Deltaproteobacteria	0.011473517	0.000254967	0.025496705
JN868882.1.1541	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Haliangiaceae	 Haliangium	NA	 Haliangium	0.011437437	0.000254165	0.025416526
FN430384.1.1490	1	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	 Bacillus cereus	 Bacillus	0.011401357	0.000253363	0.025336348
KJ540761.1.1449	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	NA	 Bacteroidia	0.011365276	0.000252562	0.02525617
AY281356.12975.14529	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.011220955	0.000249355	0.024935456
FPLS01026721.16.1539	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 TRA3-20	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.011112715	0.000246949	0.024694922
JF428916.1.1504	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Pirellulales	 Pirellulaceae	 Pirellula	 uncultured bacterium	 Pirellula	0.011076634	0.000246147	0.024614743
HQ597808.1.1508	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.010968394	0.000243742	0.024374208
EU135297.1.1352	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured bacterium	 uncultured bacterium	 Phycisphaerae	0.010679752	0.000237328	0.023732782
HQ697544.1.1494	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.01042719	0.000231715	0.023171533
FPLS01056301.16.1552	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae	 Pajaroellobacter	 Ambiguous_taxa	 Pajaroellobacter	0.010174628	0.000226103	0.022610285
FPLL01005505.14.1532	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 Steroidobacter	NA	 Steroidobacter	0.009994227	0.000222094	0.022209394
OTU_dn_323	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 uncultured bacterium	 Gemmatimonadetes	0.009705585	0.00021568	0.021567967
KC554661.1.1526	1	Bacteria	 Actinobacteria	 Actinobacteria	 Frankiales	 Geodermatophilaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Actinobacteria	0.009669505	0.000214878	0.021487789
JX114473.1.1481	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 env.OPS 17	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.009525184	0.000211671	0.021167076
KJ013356.1.1538	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 Gaiellaceae	 Gaiella	 Ambiguous_taxa	 Gaiella	0.009236542	0.000205256	0.020525649
FPLL01000633.14.1519	1	Bacteria	 Actinobacteria	 Actinobacteria	 Propionibacteriales	 Nocardioidaceae	 Marmoricola	 Ambiguous_taxa	 Marmoricola	0.009164382	0.000203653	0.020365292
FPLS01015355.12.1509	1	Bacteria	 Actinobacteria	 Acidimicrobiia	 IMCC26256	NA	NA	NA	 Acidimicrobiia	0.00891182	0.00019804	0.019804044
KY176936.1.1456	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	NA	 Bacteroidia	0.008839659	0.000196437	0.019643688
EF018392.1.1390	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Pirellulales	 Pirellulaceae	 uncultured	 uncultured planctomycete	 Planctomycetacia	0.008767499	0.000194833	0.019483331
HQ118868.1.1525	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.008478857	0.000188419	0.018841904
CU466773.2.1368	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 uncultured	NA	NA	 Deltaproteobacteria	0.008190215	0.000182005	0.018200478
FJ936969.1.1515	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Haliangiaceae	 Haliangium	 uncultured bacterium	 Haliangium	0.007865493	0.000174789	0.017478873
JQ825028.1.1485	1	Bacteria	 Acidobacteria	 Subgroup 5	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 5	0.007576851	0.000168374	0.016837446
KC554279.1.1520	1	Bacteria	 Actinobacteria	 Acidimicrobiia	 Microtrichales	 uncultured	 uncultured bacterium	 uncultured bacterium	 Acidimicrobiia	0.007216048	0.000160357	0.016035663
FPLS01035838.16.1549	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.007035647	0.000156348	0.015634772
KC854967.1.1480	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Gemmatales	 Gemmataceae	 uncultured	 uncultured bacterium	 Planctomycetacia	0.006350123	0.000141114	0.014111384
